Parent;ItemNumber;Item Code;Item Name;Color Code;Color Name;Has Grain;Length;Width;Thickness;Quantity;Material Quantity;Units;CoverSide;Item Type;Material Type;Material Code;Color Code
2;76;nurgik_250x250;nurgik_250x250;;;;;;;4;;;;Purchased;;;
1;80;sokli_otsakilp;sokli_otsakilp;;;True;650;150;12;2;;;;Part;;;
80;81;WP of sokli_otsakilp;WP of sokli_otsakilp;;;True;160;660;12;0,106;0,106;m²;;Fill Workpiece;Laminated Board;L_V_MDF;HP_282137
80;83;WP of sokli_otsakilp;WP of sokli_otsakilp;;;False;650;12;1;0,65;0,65;m;Right;Cover Workpiece;Edge Band;ABS;HP_282137
80;85;WP of sokli_otsakilp;WP of sokli_otsakilp;;;False;650;12;1;0,65;0,65;m;Left;Cover Workpiece;Edge Band;ABS;HP_282137
80;87;WP of sokli_otsakilp;WP of sokli_otsakilp;;;False;150;12;1;0,15;0,15;m;Front;Cover Workpiece;Edge Band;ABS;HP_282137
1;89;tausta_otsakilp;tausta_otsakilp;;;True;900;100;40;2;;;;Part;;;
89;90;WP of tausta_otsakilp;WP of tausta_otsakilp;;;True;910;110;40;0,1;0,1;m²;;Fill Workpiece;Laminated Board;L_L_MDF;HP_282137
89;92;WP of tausta_otsakilp;WP of tausta_otsakilp;;;False;900;40;1;0,9;0,9;m;Back;Cover Workpiece;Edge Band;ABS;HP_282137
89;94;WP of tausta_otsakilp;WP of tausta_otsakilp;;;False;100;40;1;0,1;0,1;m;Left;Cover Workpiece;Edge Band;ABS;HP_282137
89;96;WP of tausta_otsakilp;WP of tausta_otsakilp;;;False;900;40;1;0,9;0,9;m;Front;Cover Workpiece;Edge Band;ABS;HP_282137
89;98;WP of tausta_otsakilp;WP of tausta_otsakilp;;;False;100;40;1;0,1;0,1;m;Right;Cover Workpiece;Edge Band;ABS;HP_282137
1;77;pehme;pehme;;;;;;;1;;;;Purchased;;;
1;78;pehme_vasak_ots;pehme_vasak_ots;;;;;;;1;;;;Purchased;;;
1;79;pehme_parem_ots;pehme_parem_ots;;;;;;;1;;;;Purchased;;;
