parentID;ID;code;name;hasGrain;length;width;thickness;quantity;units;coverSide;type;materialType;materialCode;colorCode
144;153;kyljepaneel WP 5;WP of ;False;170;20;2;0,17;m;Right, Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
144;155;kyljepaneel WP 6;WP of ;False;274;20;2;0,274;m;Right, Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
144;157;kyljepaneel WP 7;WP of ;False;170;20;2;0,17;m;Right, Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
144;159;kyljepaneel WP 8;WP of ;False;274;20;2;0,274;m;Right, Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
144;161;kyljepaneel WP 9;WP of ;False;1170;20;2;1,17;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
144;163;kyljepaneel WP 10;WP of ;False;1432;20;2;1,432;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
144;165;kyljepaneel WP 11;WP of ;False;1830;20;2;1,83;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
144;167;kyljepaneel WP 12;WP of ;False;336;20;2;0,336;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
144;169;kyljepaneel WP 13;WP of ;False;150;20;2;0,15;m;Right, Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
134;171;taimekasti_v6lisots;;True;1000;509;20;1;;;Part;;;
171;172;taimekasti_v6lisots WP 1;WP of ;True;1000;509;20;0,509;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
171;174;taimekasti_v6lisots WP 2;WP of ;False;509;20;2;0,509;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
171;176;taimekasti_v6lisots WP 3;WP of ;False;509;20;2;0,509;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
134;178;taimekasti_siseots;;True;509;318;20;1;;;Part;;;
178;179;taimekasti_siseots WP 1;WP of ;True;318;509;20;0,162;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
178;181;taimekasti_siseots WP 2;WP of ;False;509;20;2;0,509;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
134;183;taimekasti_v6liskylg;;True;1412;1000;20;1;;;Part;;;
183;184;taimekasti_v6liskylg WP 1;WP of ;True;1000;1412;20;1,412;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN
183;186;taimekasti_v6liskylg WP 2;WP of ;False;1412;20;2;1,412;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
183;188;taimekasti_v6liskylg WP 3;WP of ;False;1000;20;2;1;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
183;190;taimekasti_v6liskylg WP 4;WP of ;False;1412;20;2;1,412;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN
134;192;taimekasti põhi_1;;True;863;509;18;1;;;Part;;;
192;193;taimekasti põhi_1 WP 1;WP of ;True;863;509;18;0,439;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
134;195;taimekasti_roostevaba_vann;;;;;;1;;;Purchased;;;
1;196;Trepi_piire;;;;;;1;;;Assembly;;;
196;197;taustaplaat;;False;4144;3580;18;1;;;Part;;;
197;198;taustaplaat WP 1;WP of ;False;4144;3580;18;14,837;m²;;Fill Workpiece;Laminated Board;L_L_PLP;EG_W1000
197;200;taustaplaat WP 2;WP of ;False;1072;18;2;1,072;m;Left;Cover Workpiece;Edge Band;ABS;EG_W1000
197;202;taustaplaat WP 3;WP of ;False;4771;18;2;4,771;m;Left, Back;Cover Workpiece;Edge Band;ABS;EG_W1000
197;204;taustaplaat WP 4;WP of ;False;86;18;2;0,086;m;Back;Cover Workpiece;Edge Band;ABS;EG_W1000
196;206;trepi_piirde_torud;;;;;;1;;;Purchased;;;
1;207;182844_Taimekast_EM_01;;;;;;1;;;Assembly;;;
207;208;Taimekast_EM_01;;;;;;2;;;Assembly;;;
208;209;taimekasti_kylg_01;;True;1500;360;39;2;;;Part;;;
209;210;taimekasti_kylg_01 WP 1;WP of ;True;1520;360;39;0,547;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
209;212;taimekasti_kylg_01 WP 2;WP of ;False;1500;6;1;1,5;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
209;214;taimekasti_kylg_01 WP 3;WP of ;False;1500;39;1;1,5;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
208;216;taimekasti_ots_01;;True;600;360;39;2;;;Part;;;
216;217;taimekasti_ots_01 WP 1;WP of ;True;620;360;39;0,223;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
