parentID;ID;code;name;hasGrain;length;width;thickness;quantity;units;coverSide;type;materialType;materialCode;colorCode
271;272;kaminakapi_p6hi WP 1;WP of ;False;1032;372;16;0,384;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
271;274;kaminakapi_p6hi WP 2;WP of ;False;1032;16;2;1,032;m;Front;Cover Workpiece;Edge Band;ABS;EG_U999
337;285;kaminakapi_parem_kylg;;False;372;270;16;1;;;Part;;;
285;286;kaminakapi_parem_kylg WP 1;WP of ;False;372;270;16;0,1;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
285;288;kaminakapi_parem_kylg WP 2;WP of ;False;372;16;2;0,372;m;Front;Cover Workpiece;Edge Band;ABS;EG_U999
285;290;kaminakapi_parem_kylg WP 3;WP of ;False;270;16;2;0,27;m;Left;Cover Workpiece;Edge Band;ABS;EG_U999
337;338;kaminakapi_vasak_kylg;;False;372;270;16;1;;;Part;;;
338;339;kaminakapi_vasak_kylg WP 1;WP of ;False;372;270;16;0,1;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
338;341;kaminakapi_vasak_kylg WP 2;WP of ;False;372;16;2;0,372;m;Front;Cover Workpiece;Edge Band;ABS;EG_U999
338;343;kaminakapi_vasak_kylg WP 3;WP of ;False;270;16;2;0,27;m;Left;Cover Workpiece;Edge Band;ABS;EG_U999
269;346;Veeauru_kamina_pink;;;;;;1;;;Assembly;;;
346;374;pingi_esipaneel;;;;;;1;;;Assembly;;;
374;375;pingi_esipaneel;;True;2262;390;16;1;;;Part;;;
375;376;pingi_esipaneel WP 1;WP of ;True;390;2262;16;0,882;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
375;378;pingi_esipaneel WP 2;WP of ;False;390;16;2;0,39;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
375;380;pingi_esipaneel WP 3;WP of ;False;2262;16;2;2,262;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
375;382;pingi_esipaneel WP 4;WP of ;False;390;16;2;0,39;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
374;384;pingi_esipaneeli_ribi;;True;409;40;19;38;;;Part;;;
384;385;pingi_esipaneeli_ribi WP 1;WP of ;True;419;40;19;0,017;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
384;387;pingi_esipaneeli_ribi WP 2;WP of ;False;409;19;2;0,409;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
384;389;pingi_esipaneeli_ribi WP 3;WP of ;False;40;19;2;0,04;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
384;391;pingi_esipaneeli_ribi WP 4;WP of ;False;409;19;2;0,409;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
346;347;pingi_p6hi;;False;2245;375;16;1;;;Part;;;
347;348;pingi_p6hi WP 1;WP of ;False;2245;375;16;0,842;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
346;350;pingi_tagasein;;False;2245;254;16;1;;;Part;;;
350;351;pingi_tagasein WP 1;WP of ;False;2245;254;16;0,57;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
346;353;pingi_otsakilp;;True;390;375;16;1;;;Part;;;
353;354;pingi_otsakilp WP 1;WP of ;True;390;375;16;0,146;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
353;356;pingi_otsakilp WP 2;WP of ;False;390;16;2;0,39;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
353;358;pingi_otsakilp WP 3;WP of ;False;375;16;2;0,375;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
346;360;pingi_vahesein;;False;359;254;16;5;;;Part;;;
360;361;pingi_vahesein WP 1;WP of ;False;359;254;16;0,091;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
346;363;pingi_plaat;;True;2278;410;19;1;;;Part;;;
363;364;pingi_plaat WP 1;WP of ;True;2278;420;19;0,957;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
363;366;pingi_plaat WP 2;WP of ;False;2278;19;2;2,278;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
363;368;pingi_plaat WP 3;WP of ;False;2278;27;2;2,278;m;Inward;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
363;370;pingi_plaat WP 4;WP of ;False;410;19;2;0,41;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
363;372;pingi_plaat WP 5;WP of ;False;410;19;2;0,41;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
269;345;kaminakapi_kiviplaat;;;;;;1;;;Purchased;;;
