parentID;ID;code;name;comments;hasGrain;length;width;thickness;quantity;units;coverSide;type;materialType;materialCode;colorCode
923;943;Z3_t2iteliist;;;False;823;120;18;1;;;Part;;;
943;944;Z3_t2iteliist WP 1;WP of ;;False;823;120;18;0,099;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
923;946;Z3_parem_kylg;;;False;823;440;18;1;;;Part;;;
946;947;Z3_parem_kylg WP 1;WP of ;;False;823;440;18;0,362;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
946;949;Z3_parem_kylg WP 2;WP of ;;False;823;18;1;0,823;m;Back;Cover Workpiece;Edge Band;ABS;EG_F187
923;951;Z3_sise_sokkel;;;False;538;68;18;1;;;Part;;;
951;952;Z3_sise_sokkel WP 1;WP of ;;False;538;68;18;0,037;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
951;954;Z3_sise_sokkel WP 2;WP of ;;False;538;18;1;0,538;m;Front;Cover Workpiece;Edge Band;ABS;EG_F187
951;956;Z3_sise_sokkel WP 3;WP of ;;False;68;18;1;0,068;m;Left;Cover Workpiece;Edge Band;ABS;EG_F187
923;958;Z3_vahelagi;;;False;662;448;18;1;;;Part;;;
958;959;Z3_vahelagi WP 1;WP of ;;False;662;448;18;0,297;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
958;961;Z3_vahelagi WP 2;WP of ;;False;447;18;1;0,447;m;Left;Cover Workpiece;Edge Band;ABS;EG_F187
923;963;Z3_t66pind;;;True;680;603;21;1;;;Part;;;
963;964;Z3_t66pind WP 1;WP of ;;True;680;603;21;0,41;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
963;966;Z3_t66pind WP 2;WP of ;;False;;;0;0;m²;Left, Bottom, Inward;Cover Workpiece;Paint;värv;RAL_9011
923;986;Z3_riiul;;;False;661;446;18;1;;;Part;;;
986;987;Z3_riiul WP 1;WP of ;;False;661;446;18;0,295;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
986;989;Z3_riiul WP 2;WP of ;;False;446;18;1;0,446;m;Left;Cover Workpiece;Edge Band;ABS;EG_F187
923;991;Z3_v2lis_sokkel;;;True;884;68;18;1;;;SheetMetal Part;;;
991;992;Z3_v2lis_sokkel WP 1;WP of ;;True;884;68;18;0,06;m²;;Fill Workpiece;Board;VIN_PAINDE;
923;999;Z3_sokliplekk;;;;;;;1;;;Purchased;;;
923;16;Sokli korrigeerija MF 300-00-Z2-00-Z2;;;;;;;3;;;Purchased;;;
923;607;puit_tyybel_8x35;;;;;;;15;;;Purchased;;;
923;13;Kruvitõmmits 5x50;;;;;;;17;;;Purchased;;;
1;994;kylmavitriini_tugi;;;;;;;2;;;Assembly;;;
1;2;klaas;;joonise järgi;;;;;1;;;Purchased;;;
1;11;kivi;;vastavalt tarnija joonistele;;;;;1;;;Purchased;;;
